"","id","Location.of.population","Country.list","Region","biome","year","pop","scalepop","Units","Sampling.method","population_int"
"1",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1970,6.34,0.337325349301397,"Annual Index","Volunteer survey of set routes during peak breeding season",6340
"2",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1971,6.64,0.457085828343313,"Annual Index","Volunteer survey of set routes during peak breeding season",6640
"3",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1972,6.45,0.3812375249501,"Annual Index","Volunteer survey of set routes during peak breeding season",6450
"4",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1973,5.95,0.181636726546906,"Annual Index","Volunteer survey of set routes during peak breeding season",5950
"5",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1974,5.47,-0.00998003992015983,"Annual Index","Volunteer survey of set routes during peak breeding season",5470
"6",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1975,5.27,-0.0898203592814374,"Annual Index","Volunteer survey of set routes during peak breeding season",5270
"7",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1976,6.02,0.209580838323353,"Annual Index","Volunteer survey of set routes during peak breeding season",6020
"8",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1977,7.08,0.632734530938124,"Annual Index","Volunteer survey of set routes during peak breeding season",7080
"9",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1978,7.51,0.80439121756487,"Annual Index","Volunteer survey of set routes during peak breeding season",7510
"10",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1979,4.83,-0.265469061876248,"Annual Index","Volunteer survey of set routes during peak breeding season",4830
"11",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1980,5.04,-0.181636726546906,"Annual Index","Volunteer survey of set routes during peak breeding season",5040
"12",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1981,6.29,0.317365269461078,"Annual Index","Volunteer survey of set routes during peak breeding season",6290
"13",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1982,6.22,0.289421157684631,"Annual Index","Volunteer survey of set routes during peak breeding season",6220
"14",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1983,8,1,"Annual Index","Volunteer survey of set routes during peak breeding season",8000
"15",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1984,5.62,0.0499001996007984,"Annual Index","Volunteer survey of set routes during peak breeding season",5620
"16",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1985,5.66,0.0658682634730539,"Annual Index","Volunteer survey of set routes during peak breeding season",5660
"17",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1986,5.48,-0.00598802395209563,"Annual Index","Volunteer survey of set routes during peak breeding season",5480
"18",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1987,5.13,-0.145708582834331,"Annual Index","Volunteer survey of set routes during peak breeding season",5130
"19",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1988,5.43,-0.0259481037924153,"Annual Index","Volunteer survey of set routes during peak breeding season",5430
"20",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1989,5.24,-0.101796407185629,"Annual Index","Volunteer survey of set routes during peak breeding season",5240
"21",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1990,7.31,0.724550898203593,"Annual Index","Volunteer survey of set routes during peak breeding season",7310
"22",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1991,4.61,-0.353293413173653,"Annual Index","Volunteer survey of set routes during peak breeding season",4610
"23",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1992,5.6,0.0419161676646704,"Annual Index","Volunteer survey of set routes during peak breeding season",5600
"24",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1993,4.49,-0.401197604790419,"Annual Index","Volunteer survey of set routes during peak breeding season",4490
"25",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1994,5.49,-0.00199600798403188,"Annual Index","Volunteer survey of set routes during peak breeding season",5490
"26",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1995,5.81,0.125748502994012,"Annual Index","Volunteer survey of set routes during peak breeding season",5810
"27",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1996,5.21,-0.11377245508982,"Annual Index","Volunteer survey of set routes during peak breeding season",5210
"28",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1997,5.55,0.0219560878243512,"Annual Index","Volunteer survey of set routes during peak breeding season",5550
"29",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1998,7.69,0.87624750499002,"Annual Index","Volunteer survey of set routes during peak breeding season",7690
"30",14818,"British Columbia","Canada","North America","Temperate coniferous forests",1999,6.32,0.32934131736527,"Annual Index","Volunteer survey of set routes during peak breeding season",6320
"31",14818,"British Columbia","Canada","North America","Temperate coniferous forests",2000,6.28,0.313373253493014,"Annual Index","Volunteer survey of set routes during peak breeding season",6280
"32",14818,"British Columbia","Canada","North America","Temperate coniferous forests",2001,7.42,0.768463073852295,"Annual Index","Volunteer survey of set routes during peak breeding season",7420
"33",14818,"British Columbia","Canada","North America","Temperate coniferous forests",2002,6.22,0.289421157684631,"Annual Index","Volunteer survey of set routes during peak breeding season",6220
"34",14818,"British Columbia","Canada","North America","Temperate coniferous forests",2003,5.81,0.125748502994012,"Annual Index","Volunteer survey of set routes during peak breeding season",5810
